"id","nom","nbAvis","latitude","longitude","shape_gid","gtrip"
"244951","Galerie des enfants","11","48.856804","2.351053","83325","187147"
"2705564","Institut des Cultures d  Islam","6","48.88777","2.35351","83250","187147"
"1898273","Statue de la Liberté","373","48.8491","2.29366","83331","187147"
"245151","Théâtre de la Huchette","23","48.85307","2.34537","82476","187147"
"245104","Les Blancs Manteaux","27","48.85876","2.35744","83325","187147"
"2485740","Parc des Princes","355","48.84238","2.25204","83330","187147"
"188759","Musée Cognacq-Jay","143","48.85822","2.36141","83332","187147"
"3188322","Cabinet of Coins, Medals and Antiquities","7","48.86787","2.33798","83326","187147"
"245148","Théâtre de la Ville","55","48.8574","2.34758","83325","187147"
"1837806","Le musée gourmand du chocolat - Choco-Story","254","48.87029","2.34992","66451","187147"
"775386","Crypte Archeologique","100","48.8537","2.34816","83325","187147"
"271255","Cimetière des chiens","43","48.91119","2.298417","65930","187147"
"3571313","Musée Curie","38","48.84457","2.34401","82476","187147"
"1898277","Liberty Flame","97","48.86298","2.301786","83327","187147"
"1740251","Paris Sewer Museum","104","48.862125","2.301582","83327","187147"
"245137","Studio Galande","53","48.85159","2.34703","82476","187147"
"191247","Musée de la Préfecture de Police","50","48.84985","2.347937","82476","187147"
"195058","Hippodrome d  Auteuil","24","48.85825","2.261639","83330","187147"
"1587596","Le Nouveau Film Paris Story","162","48.87227","2.3309","83329","187147"
"245078","Le Balzac","3","48.87281","2.29983","76102","187147"
"484919","Musée du parfum Fragonard rue Scribe","214","48.87142","2.33048","83329","187147"
"245091","Le Lido","2304","48.872185","2.300724","76102","187147"
"1456178","Rue de la Huchette","131","48.85306","2.345513","82476","187147"
"232170","Val-de-Grâce","33","48.840088","2.340439","82476","187147"
"245143","Théâtre Hébertot /Petit Hébertot","19","48.88196","2.318974","76102","187147"
"245084","Le Cinéma des cinéastes","3","48.88434","2.32706","82475","187147"
"189797","Ménilmontant","19","48.869118","2.3915","82478","187147"
"209783","Assemblée Nationale","129","48.86277","2.31843","83327","187147"
"245115","Musée en Herbe","129","48.865154","2.341732","82481","187147"
"232165","Musée du Vin","145","48.85695","2.28547","83330","187147"
"194211","Rue Jacob","27","48.85551","2.333951","83333","187147"
"244880","Ateliers de Paris--Carolyn Carlson","3","48.847282","2.405055","83324","187147"
"232161","Musée de l  histoire de France","9","48.85989","2.35713","83332","187147"
"245064","La Bruyère","4","48.87896","2.33641","83329","187147"
"532291","Cour du Commerce Saint-André","36","48.85299","2.339112","83333","187147"
"245055","Jardin Nelson-Mandela","21","48.862797","2.346461","82481","187147"
"191245","Musée Zadkine","91","48.84303","2.334155","83333","187147"
"208636","Place des Victoires","51","48.865955","2.341247","82481","187147"
"190885","Promenades Gourmandes","25","48.811474","2.335495","78308","187147"
"3627989","Le Musée Gourmand du Chocolat","2","48.87029","2.34992","66451","187147"
"188456","Place de la Bastille","1146","48.853138","2.368712","83325","187147"
"2042830","Pont au Change","44","48.856575","2.346703","83325","187147"
"188148","29 avenue Rapp","31","48.85914","2.30073","83327","187147"
"2634545","Photo Up Private Tours","1","48.88858","2.31754","82475","187147"
"1942367","Paris en Scene - Diner croisiere","875","48.8539","2.3445","83333","187147"
"3515744","Musée Dapper","53","48.87166","2.28821","83330","187147"
